###################################################
Cluster 1
Word	#Occurence
'the'	14097
'that'	3036
'his'	2493
'it'	2489
'he'	1865
'all'	1497
'this'	1382
'him'	1056
'be'	1029
'you'	880
'they'	649
'me'	628
'which'	625
'some'	608
'what'	607
'their'	604
'an'	590
'my'	587
'no'	581
'ahab'	499
'ye'	466
'them'	465
'we'	446
'do'	418
'these'	394
'its'	371
'such'	367
'her'	330
'any'	323
'those'	303
'stubb'	252
'queequeg'	247
'your'	242
'say'	239
'every'	225
'us'	223
'being'	217
'our'	203
'good'	198
'starbuck'	197
'almost'	194
'ever'	189
'too'	180
'many'	162
'once'	146
'god'	141
'life'	140
'thee'	130
'things'	130
'each'	127
'both'	124
'she'	114
'thy'	113
'another'	113
'make'	110
'whaling'	107
'get'	95
'certain'	88
'nantucket'	87
'whose'	85
'itself'	83
'new'	83
'jonah'	82
'moby'	81
'bildad'	76
'death'	76
'oil'	75
'ships'	75
'large'	74
'pip'	74
'keep'	69
'having'	65
'order'	61
'work'	60
'live'	59
'themselves'	58
'fine'	58
'tashtego'	56
'home'	55
'curious'	54
'run'	53
'heaven'	47
'several'	46
'sleep'	46
'ten'	46
'whatever'	45
'mine'	45
'running'	44
'somehow'	43
'anything'	43
'making'	42
'quite'	41
'whom'	41
'em'	40
'steelkilt'	40
'mortal'	40
'help'	38
'five'	38
'others'	38
'bone'	37
'either'	37
'daggoo'	37
'seeing'	36
'ha'	36
'hardly'	33
'de'	33
'nearly'	33
'drawing'	33
'darkness'	32
'fifty'	31
'vain'	29
'wood'	29
'leeward'	29
'become'	28
'late'	28
'swimming'	28
'wholly'	27
'free'	26
'yourself'	26
'getting'	26
'considerable'	26
'st'	25
'twenty'	25
'thirty'	24
'escape'	24
'forty'	24
'thyself'	24
'carry'	24
'different'	23
'remain'	23
'kill'	23
'love'	23
'grow'	22
'radney'	22
'windward'	22
'step'	21
'eight'	21
'don'	20
'sleeping'	20
'dat'	20
'striking'	20
'ishmael'	20
'follow'	20
'ones'	19
'swim'	19
'england'	19
'everything'	19
'whalers'	19
'tree'	18
'ice'	18
'thine'	18
'rise'	18
'drink'	18
'yonder'	18
'bad'	17
'understand'	17
